"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight"
"5ed42f400dccf4480fa1","TOGGLE",15,0,3,"Distance","1279.99999996973",10,"meters",0,1237.9999999539,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",150,-30,6,"Heading","1514.00000002468",40,"",0,1101.9999999553,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,-30,3,"Heading","2144.99999996042",30,"",0,0,1565.00000000233,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",15,0,3,"Heading","2371.99999997392",10,"",0,1185.99999998696,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,-30,3,"Heading","2221.99999995064",30,"",0,0,1842.99999999348,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",150,-30,6,"Distance","4080.0000000163",20,"meters",0,1179.99999999302,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,-20,1,"Heading","2111.00000003353",30,"",0,0,1304.99999999302,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",75,0,1,"Heading","2036.00000002189",20,"",0,1228.00000000279,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,-30,6,"Heading","6747.99999996321",20,"",0,1245.99999998463,0,"SL","SL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",25,-10,3,"Distance","3750",10,"meters",0,0,1175.99999997765,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",100,-30,1,"Heading","2016.99999999255",40,"",0,0,1159.99999997439,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",25,0,1,"Heading","1845.99999996135",20,"",0,0,1171.99999996228,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,-20,3,"Distance","2574.00000002235",20,"meters",0,0,1063.00000002375,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",50,-10,3,"Distance","2252.00000003679",30,"meters",0,0,921.000000031199,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
"5ed42f400dccf4480fa1","TOGGLE",200,-30,1,"Heading","2751.99999997858",30,"",0,0,3152.99999999115,"WL","WL","WL","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1299,623
