"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight","dist_meters","estimate_err"
"sub12","WL",150,0,3,"Number","1728",3,"",0,0,2559,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",200,0,3,"Number","2117",3,"",0,0,3012,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",25,-30,1,"Number","1794",1,"",0,0,1687,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",150,0,1,"Number","1141",1,"",0,0,2050,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",75,-10,6,"Number","1986",6,"",0,0,3655,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",15,-10,6,"Number","2110",6,"",0,0,3167,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",200,-30,1,"Number","1857",1,"",0,0,2568,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",25,-20,1,"Number","1801",1,"",0,0,1460,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",50,0,6,"Number","2222",5,"",0,0,3129,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",100,0,1,"Number","2103",1,"",0,0,1496,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",100,-30,6,"Number","4026",6,"",0,0,6808,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",75,-20,3,"Number","2166",3,"",0,0,1859,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",150,-10,3,"Number","1101",3,"",0,0,1804,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",50,-20,3,"Number","1890",3,"",0,0,1887,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",50,-30,3,"Number","1668",2,"",0,0,1932,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,2,-1
"sub12","WL",150,-10,1,"Number","1525",1,"",0,0,1823,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",75,0,6,"Number","2194",5,"",0,0,1976,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",25,0,1,"Number","1693",1,"",0,0,1576,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",150,-20,1,"Number","1791",1,"",0,0,1542,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",50,-30,1,"Number","937",1,"",0,0,2055,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",50,-10,6,"Number","2090",6,"",0,0,5207,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",25,-30,3,"Number","1943",3,"",0,0,1767,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",200,0,6,"Number","1845",5,"",0,0,4865,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",200,0,1,"Number","2103",1,"",0,0,2731,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",15,-30,3,"Number","1782",3,"",0,0,1878,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",100,-30,3,"Number","1767",3,"",0,0,3542,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
